TelegramFileName,Type,Topic,SeriesName,SequenceInSeries,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,DayOfWeek,ClipLength,Category,MatchedBy,doubtsStatus
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,18,الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(-07)-
✏️",أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,19,الصيام : ( من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),الأول (-01)-.,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,29 رجب 1437,23.10.2025,Thursday,Not Available,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,20,الطهارة,الأول (-01)-.,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,21,( تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(10)-
✏️",أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,20 شوال 1437,23.10.2025,Thursday,Not Available,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,22,الطهارة : من كتاب تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام.,Not Available,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,05 ذوالقعدة 1437,23.10.2025,Thursday,Not Available,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,23,( تأسيس الأحكام على ما صح من خير الأنام بشرح عمدة الأحكام ),"(012)-
✏️",أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,24,الطهارة,الأول (-01)-.,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,25,Not Available,"(024)-
✏️",أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,26,Not Available,025 *,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
Not Available,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,27,Not Available,026 *,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,23.10.2025,Thursday,Not Available,Hadeeth,Manual-style (1),"Day mismatch: Thursday (expected: Sunday, Monday)"
