SeriesName,Location,DayOfWeek,Category,OriginalAuthor,LessonSeq,RecordingDate,Serial,SubTopic,TelegramFileName,Type,Topic,DateInArabic,ClipLength,doubtsStatus
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,Hadeeth,أحمد بن يحيى النجمي,23,2025-12-18,الرابع من كتاب الصلاة,كتاب الصلاة بجامع الورود,AUD-20251208-WA0007.m4a,Series,Not Available,١٧ / ٦ / ١٤٤٧,44:32,none
تأسيس الأحكام شرح عمدة الأحكام,جامع الورود,Thursday,Hadeeth,أحمد بن يحيى النجمي,24,2025-12-18,الخامس من كتاب الصلاة,كتاب الصلاة بجامع الورود,AUD-20251218-WA0000.m4a,Series,Not Available,٢٣ / ٦ / ١٤٤٧,52:52,none
Unknown,جامع الورود,Thursday,Other,Not Available,1,2025-10-16,Not Available,Not Available,AUD-20251012-WA0020.m4a,Khutba,وقفات مع السيرة النبوية(١),الجمعة ١١/ ٤ / ١٤٤٧,11:04,none
Unknown,جامع الورود,Thursday,Other,Not Available,2,2025-10-23,Not Available,كتاب ﴿,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,38:42,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,Thursday,Other,Not Available,3,2025-10-23,Not Available,كتاب ﴿,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,22:36,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,Thursday,Other,Not Available,4,2025-10-23,Not Available,كتاب ﴿,التعليق_على_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_zos88VZk4dU.m4a,Series,Not Available,Not Available,27:12,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,Thursday,Other,Not Available,5,2025-10-23,Not Available,كتاب ﴿,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,45:14,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,Thursday,Other,Not Available,6,2025-10-23,Not Available,كتاب ﴿,التعليق_على_كتاب_﴿تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,26:21,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,Thursday,Other,Not Available,7,2025-10-23,Not Available,كتاب ﴿,التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,26:21,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
Unknown,جامع الورود,Thursday,Other,Not Available,8,2025-10-23,Not Available,كتاب ﴿,التعليق_على_كتاب_تأسيس_الأحكام_على_ما_صح_من_خير_الأنام_بشرح_عمدة.mp3,Series,Not Available,Not Available,27:47,Type unclear - defaulted to Series; Series name not clearly identified; Serial number not found; Original author not found; Arabic date not found
