TelegramFileName,Type,Topic,SeriesName,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,DayOfWeek,ClipLength,Category,MatchedBy,doubtsStatus
AUDIO-2026-02-08-17-34-17.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,الصلاة بجامع الورودبحي الورود بجدة,السادس عشر,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,09/02/2026,Monday,34:34,Hadeeth,Manual-style (1),none
AUDIO-2026-02-04-21-21-24.m4a,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,القصاص🔸 للعلامة أحمد بن يحي النجميرحمه الله🔹 الدرس الأول عن بُعد,الأول عن,أحمد بن يحيى النجمي,Online,حسن بن محمد منصور الدغريري,Not Available,06/02/2026,Friday,15:09,Hadeeth,Manual-style (1),Day mismatch: Friday (expected: Wednesday)
AUDIO-2026-02-08-17-34-48.m4a,Series,Not Available,الملخص شرح كتاب التوحيد,التوحيد🔸 للعلامة صالح الفوزان حفظه الله🔹 الدرس السابع والثلاثون بجامع الورودبحي الورورد بجدة,السابع والثلاثون,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,09/02/2026,Monday,12:45,Aqeedah,Manual-style (2),"Day mismatch: Monday (expected: Sunday, Tuesday)"
AUDIO-2026-02-04-21-23-40.m4a,Series,Not Available,الملخص الفقهي,الصلاة (١٣) باب الذكر عقب الصلاةبحي الورورد بجدة -,الرابع و,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,06/02/2026,Friday,N/A,Fiqh,Manual-style (3),"Day mismatch: Friday (expected: Monday, Wednesday)"
AUDIO-2026-02-08-21-21-26.m4a,Series,Not Available,الأفنان الندية,الفرائض🔸 للعلامة زيد بن هادي مدخليرحمه الله🔹 الدرس السابع في كتاب الفرائض - باب من يرث بالنكاحعن بُع,السابع في,زيد بن هادي المدخلي,Online,حسن بن محمد منصور الدغريري,Not Available,09/02/2026,Monday,N/A,Fiqh,Manual-style (4),none
AUDIO-2026-02-08-07-36-29.m4a,Series,Not Available,التفسير الميسر,Not Available,الثامن عشر,نخبة من أهل العلم,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,08/02/2026,Sunday,7:00,Other,Manual-style (6),Day mismatch: Sunday (expected: Saturday)
AUDIO-2026-02-08-07-40-16.m4a,Unknown,Not Available,Not Available,Not Available,الثالث بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,08/02/2026,Sunday,29:17,Other,Unmatched,Could not match to any series
AUDIO-2026-02-08-16-05-06.m4a,Unknown,Not Available,Not Available,Not Available,الثالث بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,09/02/2026,Monday,50:55,Other,Unmatched,Could not match to any series
