TelegramFileName,Type,Topic,SeriesName,SubTopic,Serial,OriginalAuthor,Location/Online,Sheikh,DateInArabic,DateInGreg,DayOfWeek,ClipLength,Category,MatchedBy,doubtsStatus
Mp3 Editor_251010212128.mp3,Khutba,الرحمة بالمستأجرين.,Not Available,Not Available,Not Available,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,١٨/ ٤ / ١٤٤٧,10.10.2025,Friday,09:08,Other,Khutba Detection,none
Mp3 Editor_251013151759.mp3,Unknown,Not Available,Not Available,Not Available,الثالث في,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,13.10.2025,Monday,06:40,Other,Not Matched,"Could not match to schedule (Day: Monday, Location: جامع الورود)"
Mp3 Editor_251013152911.mp3,Series,Not Available,تأسيس الأحكام شرح عمدة الأحكام,الطهارة,الأول  من,أحمد بن يحيى النجمي,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,13.10.2025,Monday,46:46,Hadeeth,Schedule (Monday),none
Mp3 Editor_251013230959.mp3,Unknown,Not Available,Not Available,Not Available,الثاني  بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,14.10.2025,Tuesday,58:31,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
Mp3 Editor_251013232021.mp3,Unknown,Not Available,Not Available,Not Available,الثاني  بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,14.10.2025,Tuesday,36:30,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
Mp3 Editor_251013232558.mp3,Unknown,Not Available,Not Available,السلم والقرض -,الثالث عشر,Not Available,Online,حسن بن محمد منصور الدغريري,Not Available,14.10.2025,Tuesday,13:02,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: Online)"
Mp3 Editor_251013233321.mp3,Series,Not Available,الملخص شرح كتاب التوحيد,التوحيد,الخامس  بجامع,صالح الفوزان,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,14.10.2025,Tuesday,10:35,Aqeedah,Schedule (Tuesday),none
Mp3 Editor_251013233847.mp3,Unknown,Not Available,Not Available,Not Available,الخامس  بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,14.10.2025,Tuesday,15:41,Other,Not Matched,"Could not match to schedule (Day: Tuesday, Location: جامع الورود)"
AUD-20251012-WA0011.m4a,Unknown,Not Available,Not Available,السلم والقرض -,الرابع عشر,Not Available,Online,حسن بن محمد منصور الدغريري,Not Available,15.10.2025,Wednesday,23:00,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: Online)"
Mp3 Editor_251015085009.mp3,Unknown,Not Available,Not Available,Not Available,الثالث  بجامع,Not Available,جامع الورود,حسن بن محمد منصور الدغريري,Not Available,15.10.2025,Wednesday,42:13,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
