SequenceInSeries,SeriesName,Location,DayOfWeek,RecordingDate,TelegramFileName,Type,Topic,SubTopic,Serial,OriginalAuthor,Sheikh,DateInArabic,DateInGreg,ClipLength,Category,MatchedBy,doubtsStatus
22,Unknown,جامع الورود,Thursday,2025-10-16,Mp3 Editor_251015223639.mp3,Unknown,Not Available,Not Available,الخامس في,Not Available,حسن بن محمد منصور الدغريري,Not Available,16.10.2025,04:40,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
23,Unknown,جامع الورود,Thursday,2025-10-16,Mp3 Editor_251015225547.mp3,Unknown,Not Available,Not Available,الثامن بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,16.10.2025,09:58,Other,Not Matched,"Could not match to schedule (Day: Thursday, Location: جامع الورود)"
24,Unknown,جامع الورود,Friday,2025-10-17,Mp3 Editor_251017121802.mp3,Unknown,Not Available,Not Available,التاسع بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,08:25,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: جامع الورود)"
25,Unknown,جامع الورود,Friday,2025-10-17,Mp3 Editor_251017122120.mp3,Unknown,Not Available,Not Available,السادس في,Not Available,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,07:15,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: جامع الورود)"
26,Unknown,جامع الورود,Friday,2025-10-17,Mp3 Editor_251017122807.mp3,Unknown,Not Available,Not Available,الرابع  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,1:06,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: جامع الورود)"
27,Unknown,جامع الورود,Friday,2025-10-17,Mp3 Editor_251017153959.mp3,Unknown,Not Available,Not Available,العاشر بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,05:16,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: جامع الورود)"
28,Unknown,جامع الورود,Friday,2025-10-17,Mp3 Editor_251017170646.mp3,Unknown,Not Available,Not Available,الحادي عشر,Not Available,حسن بن محمد منصور الدغريري,Not Available,17.10.2025,08:37,Other,Not Matched,"Could not match to schedule (Day: Friday, Location: جامع الورود)"
29,Unknown,جامع الورود,Friday,2025-10-17,AUD-20251017-WA0000.m4a,Khutba,وقفات مع السيرة النبوية(٢).,Not Available,Not Available,Not Available,حسن بن محمد منصور الدغريري,٢٥/ ٤ / ١٤٤٧,17.10.2025,09:44,Other,Khutba Detection,none
30,Unknown,جامع الورود,Wednesday,2025-10-22,Mp3 Editor_251022060402.mp3,Unknown,Not Available,Not Available,الرابع  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,22.10.2025,53:01,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
31,Unknown,جامع الورود,Wednesday,2025-10-22,Mp3 Editor_251022060954.mp3,Unknown,Not Available,Not Available,الخامس  بجامع,Not Available,حسن بن محمد منصور الدغريري,Not Available,22.10.2025,57:12,Other,Not Matched,"Could not match to schedule (Day: Wednesday, Location: جامع الورود)"
